Setup,Movecount,Solution
R,1,Just invert the setup
R',1,
R BRw,2,
R BRw',2,
R B,2,
R B',2,
R BR,2,
R BR',2,
R Dw,2,
R Dw',2,
R D,2,
R D',2,
R' F,2,
R' BRw,2,
R' BRw',2,
R' B,2,
R' B',2,
R' Dw',2,
R' D,2,
R' D',2,
R BRw R,3,
R BRw R',3,
R BRw BL,3,
R BRw BL',3,
R BRw B,3,
R BRw B',3,
R BRw BR,3,
R BRw BR',3,
R BRw Dw,3,
R BRw Dw',3,
R BRw D,3,
R BRw D',3,
R BRw' R,3,
R BRw' R',3,
R BRw' F,3,
R BRw' F',3,
R BRw' B,3,
R BRw' B',3,
R BRw' BR,3,
R BRw' BR',3,
R BRw' Dw,3,
R BRw' Dw',3,
R BRw' D,3,
R BRw' D',3,
R B R,3,
R B R',3,
R B BRw,3,
R B BRw',3,
R B BL,3,
R B BL',3,
R B BR,3,
R B BR',3,
R B Dw,3,
R B Dw',3,
R B D,3,
R B D',3,
R B' R,3,
R B' R',3,
R B' BRw,3,
R B' BRw',3,
R B' BL,3,
R B' BL',3,
R B' BR,3,
R B' BR',3,
R B' Dw,3,
R B' Dw',3,
R B' D,3,
R B' D',3,
R BR R,3,
R BR R',3,
R BR B,3,
R BR B',3,
R BR D,3,
R BR D',3,
R BR' R,3,
R BR' R',3,
R BR' B,3,
R BR' B',3,
R BR' Dw,3,
R Dw BRw,3,
R Dw BRw',3,
R Dw B,3,
R Dw B',3,
R Dw D,3,
R Dw D',3,
R Dw' R,3,
R Dw' R',3,
R Dw' BRw,3,
R Dw' BRw',3,
R Dw' B,3,
R Dw' B',3,
R Dw' D,3,
R Dw' D',3,
R D R,3,
R D R',3,
R D BRw',3,
R D BL,3,
R D BL',3,
R D B,3,
R D B',3,
R D BR,3,
R D BR',3,
R D' R,3,
R D' R',3,
R D' F,3,
R D' F',3,
R D' BRw,3,
R D' BRw',3,
R D' BR,3,
R D' BR',3,
R' F R,3,
R' F R',3,
R' F BRw,3,
R' F BRw',3,
R' F B,3,
R' F B',3,
R' BRw R,3,
R' BRw R',3,
R' BRw F,3,
R' BRw F',3,
R' BRw BL,3,
R' BRw BL',3,
R' BRw B,3,
R' BRw B',3,
R' BRw Dw,3,
R' BRw Dw',3,
R' BRw D,3,
R' BRw D',3,
R' BRw' R,3,
R' BRw' R',3,
R' BRw' F,3,
R' BRw' F',3,
R' BRw' BL,3,
R' BRw' BL',3,
R' BRw' B,3,
R' BRw' B',3,
R' BRw' Dw,3,
R' BRw' Dw',3,
R' BRw' D,3,
R' BRw' D',3,
R' B R,3,
R' B R',3,
R' B BRw,3,
R' B BRw',3,
R' B BL,3,
R' B BL',3,
R' B Dw,3,
R' B Dw',3,
R' B D,3,
R' B D',3,
R' B' R,3,
R' B' R',3,
R' B' BRw,3,
R' B' BRw',3,
R' B' BR,3,
R' B' BR',3,
R' B' Dw,3,
R' B' Dw',3,
R' B' D,3,
R' B' D',3,
R' Dw' BRw,3,
R' Dw' BRw',3,
R' Dw' B,3,
R' Dw' B',3,
R' Dw' D,3,
R' Dw' D',3,
R' D R,3,
R' D R',3,
R' D F,3,
