cw odd olp8;ccw odd olp8;odd olp8
"""(""""B' D R' BR' D' R B L' R U' R' L"""", ' {BR,U} (CIF)', 15.5, 12)""";"""(""""B' D R' BR' D' R B L' R U' R' L"""", ' {BR,U} (CIF)', 15.5, 12)""";"""(""""B' D R' BR' D' R B L' R U' R' L"""", ' {BR,U} (CIF)', 15.5, 12)"""
"""(""""D R' BR' D' R B L' R U' R' L B'"""", ' {BR,U} (CIF)', 15.5, 12)""";"""(""""D R' BR' D' R B L' R U' R' L B'"""", ' {BR,U} (CIF)', 15.5, 12)""";"""(""""D R' BR' D' R B L' R U' R' L B'"""", ' {BR,U} (CIF)', 15.5, 12)"""
"""(""""D' Rw BR U' D' Rw BR' D' U' Rw D' BR"""", ' {BL,L} (EIF)', 16.0, 12)""";"""(""""D' Rw BR U' D' Rw BR' D' U' Rw D' BR"""", ' {BL,L} (EIF)', 16.0, 12)""";"""(""""D' Rw BR U' D' Rw BR' D' U' Rw D' BR"""", ' {BL,L} (EIF)', 16.0, 12)"""
"""(""""U Rw' BR' D U Rw' BR D U Rw' U BR'"""", ' {L,R} (CIF)', 16.5, 12)""";"""(""""U Rw' BR' D U Rw' BR D U Rw' U BR'"""", ' {L,R} (CIF)', 16.5, 12)""";"""(""""U Rw' BR' D U Rw' BR D U Rw' U BR'"""", ' {L,R} (CIF)', 16.5, 12)"""
"""(""""D F' Rw U BR Rw' D' BR Rw' U Rw BR'"""", ' {U,R} (EIF)', 16.5, 12)""";"""(""""D F' Rw U BR Rw' D' BR Rw' U Rw BR'"""", ' {U,R} (EIF)', 16.5, 12)""";"""(""""D F' Rw U BR Rw' D' BR Rw' U Rw BR'"""", ' {U,R} (EIF)', 16.5, 12)"""
"""(""""BR' U R' Rw' BR U' B' BR' U Rw U' BR"""", ' {L,D} (CIF)', 16.5, 12)""";"""(""""BR' U R' Rw' BR U' B' BR' U Rw U' BR"""", ' {L,D} (CIF)', 16.5, 12)""";"""(""""BR' U R' Rw' BR U' B' BR' U Rw U' BR"""", ' {L,D} (CIF)', 16.5, 12)"""
"""(""""U BR' R Rw U' BR B U BR' Rw' BR U'"""", ' {L,D} (CIF)', 16.5, 12)""";"""(""""U BR' R Rw U' BR B U BR' Rw' BR U'"""", ' {L,D} (CIF)', 16.5, 12)""";"""(""""U BR' R Rw U' BR B U BR' Rw' BR U'"""", ' {L,D} (CIF)', 16.5, 12)"""
"""(""""F' Rw U BR Rw' D' BR Rw' U Rw BR' D"""", ' {U,R} (EIF)', 16.5, 12)""";"""(""""F' Rw U BR Rw' D' BR Rw' U Rw BR' D"""", ' {U,R} (EIF)', 16.5, 12)""";"""(""""F' Rw U BR Rw' D' BR Rw' U Rw BR' D"""", ' {U,R} (EIF)', 16.5, 12)"""
"""(""""L' R U L R' B' D R' BR R D' B"""", ' {F,U} (CIF)', 17.0, 12)""";"""(""""L' R U L R' B' D R' BR R D' B"""", ' {F,U} (CIF)', 17.0, 12)""";"""(""""L' R U L R' B' D R' BR R D' B"""", ' {F,U} (CIF)', 17.0, 12)"""
"""(""""BR U' B' BR' U Rw U' BR B' BR' U Rw'"""", ' {R,B} (CIF)', 17.0, 12)""";"""(""""BR U' B' BR' U Rw U' BR B' BR' U Rw'"""", ' {R,B} (CIF)', 17.0, 12)""";"""(""""BR U' B' BR' U Rw U' BR B' BR' U Rw'"""", ' {R,B} (CIF)', 17.0, 12)"""
"""(""""Rw' BR U' B' BR' U Rw U' BR B' BR' U"""", ' {B,L} (CIF)', 17.0, 12)""";"""(""""Rw' BR U' B' BR' U Rw U' BR B' BR' U"""", ' {B,L} (CIF)', 17.0, 12)""";"""(""""Rw' BR U' B' BR' U Rw U' BR B' BR' U"""", ' {B,L} (CIF)', 17.0, 12)"""
"""(""""B L' R U L R' B' D R' BR R D'"""", ' {F,U} (CIF)', 17.0, 12)""";"""(""""B L' R U L R' B' D R' BR R D'"""", ' {F,U} (CIF)', 17.0, 12)""";"""(""""B L' R U L R' B' D R' BR R D'"""", ' {F,U} (CIF)', 17.0, 12)"""
"""(""""Rw U' BR B U BR' Rw' BR U' B U BR'"""", ' {L,R} (CIF)', 17.0, 12)""";"""(""""Rw U' BR B U BR' Rw' BR U' B U BR'"""", ' {L,R} (CIF)', 17.0, 12)""";"""(""""Rw U' BR B U BR' Rw' BR U' B U BR'"""", ' {L,R} (CIF)', 17.0, 12)"""
"""(""""U' BR B U BR' Rw' BR U' B U BR' Rw"""", ' {R,B} (CIF)', 17.0, 12)""";"""(""""U' BR B U BR' Rw' BR U' B U BR' Rw"""", ' {R,B} (CIF)', 17.0, 12)""";"""(""""U' BR B U BR' Rw' BR U' B U BR' Rw"""", ' {R,B} (CIF)', 17.0, 12)"""
"""(""""Rw BR' U D F' Rw U BR Rw' D' BR Rw'"""", ' {U,R} (EIF)', 17.5, 12)""";"""(""""Rw BR' U D F' Rw U BR Rw' D' BR Rw'"""", ' {U,R} (EIF)', 17.5, 12)""";"""(""""Rw BR' U D F' Rw U BR Rw' D' BR Rw'"""", ' {U,R} (EIF)', 17.5, 12)"""
"""(""""D' R F D R' L' B R' U R B' L"""", ' {BL,F} (CIF)', 17.5, 12)""";"""(""""D' R F D R' L' B R' U R B' L"""", ' {BL,F} (CIF)', 17.5, 12)""";"""(""""D' R F D R' L' B R' U R B' L"""", ' {BL,F} (CIF)', 17.5, 12)"""
"""(""""L D' R F D R' L' B R' U R B'"""", ' {BL,F} (CIF)', 17.5, 12)""";"""(""""L D' R F D R' L' B R' U R B'"""", ' {BL,F} (CIF)', 17.5, 12)""";"""(""""L D' R F D R' L' B R' U R B'"""", ' {BL,F} (CIF)', 17.5, 12)"""
"""(""""F' Rw L U Rw' BR' U Rw' L Rw U' BR"""", ' {B,R} (CIF)', 18.0, 12)""";"""(""""F' Rw L U Rw' BR' U Rw' L Rw U' BR"""", ' {B,R} (CIF)', 18.0, 12)""";"""(""""F' Rw L U Rw' BR' U Rw' L Rw U' BR"""", ' {B,R} (CIF)', 18.0, 12)"""
"""(""""U' F Rw' D' BR' Rw U BR' Rw D' Rw' BR"""", ' {D,L} (CIF)', 18.0, 12)""";"""(""""U' F Rw' D' BR' Rw U BR' Rw D' Rw' BR"""", ' {D,L} (CIF)', 18.0, 12)""";"""(""""U' F Rw' D' BR' Rw U BR' Rw D' Rw' BR"""", ' {D,L} (CIF)', 18.0, 12)"""
"""(""""R' D BR' L' B R' U' B' R L D' R"""", ' {BR,U} (CIF)', 18.0, 12)""";"""(""""R' D BR' L' B R' U' B' R L D' R"""", ' {BR,U} (CIF)', 18.0, 12)""";"""(""""R' D BR' L' B R' U' B' R L D' R"""", ' {BR,U} (CIF)', 18.0, 12)"""
"""(""""L R U' B' R B R' U L' R'"""", ' {F,U} (CIF)', 9.0, 10)""";"""(""""L R U' B' R B R' U L' R'"""", ' {F,U} (CIF)', 9.0, 10)""";"""(""""L R U' B' R B R' U L' R'"""", ' {F,U} (CIF)', 9.0, 10)"""
"""(""""B L U' R' L R L' U B' L'"""", ' {F,BL} (CIF)', 12, 10)""";"""(""""B L U' R' L R L' U B' L'"""", ' {F,BL} (CIF)', 12, 10)""";"""(""""B L U' R' L R L' U B' L'"""", ' {F,BL} (CIF)', 12, 10)"""
"""(""""L R U' D' B' R B R' U D L' R'"""", ' {F,U} (CIF)', 12.0, 12)""";"""(""""L R U' D' B' R B R' U D L' R'"""", ' {F,U} (CIF)', 12.0, 12)""";"""(""""L R U' D' B' R B R' U D L' R'"""", ' {F,U} (CIF)', 12.0, 12)"""
"""(""""L R U' D B' R B R' U D' L' R'"""", ' {F,U} (CIF)', 12.0, 12)""";"""(""""L R U' D B' R B R' U D' L' R'"""", ' {F,U} (CIF)', 12.0, 12)""";"""(""""L R U' D B' R B R' U D' L' R'"""", ' {F,U} (CIF)', 12.0, 12)"""
"""(""""D' R D BR R' B U R' U' R B'"""", ' {F,BR} (CIF)', 12.0, 11)""";"""(""""D' R D BR R' B U R' U' R B'"""", ' {F,BR} (CIF)', 12.0, 11)""";"""(""""D' R D BR R' B U R' U' R B'"""", ' {F,BR} (CIF)', 12.0, 11)"""
"""(""""R' Rw' U' Rw' U R U' R Rw U R' Rw"""", ' {R,U} (EIF)', 12.25, 12)""";"""(""""R' Rw' U' Rw' U R U' R Rw U R' Rw"""", ' {R,U} (EIF)', 12.25, 12)""";"""(""""R' Rw' U' Rw' U R U' R Rw U R' Rw"""", ' {R,U} (EIF)', 12.25, 12)"""
"""(""""U' R BR U' BR' U R' F' R U R'"""", ' {R,U} (EIF)', 12.5, 11)""";"""(""""U' R BR U' BR' U R' F' R U R'"""", ' {R,U} (EIF)', 12.5, 11)""";"""(""""U' R BR U' BR' U R' F' R U R'"""", ' {R,U} (EIF)', 12.5, 11)"""
"""(""""R' B U R' U' R B' BR' B R B'"""", ' {F,BR} (CIF)', 13.0, 11)""";"""(""""R' B U R' U' R B' BR' B R B'"""", ' {F,BR} (CIF)', 13.0, 11)""";"""(""""R' B U R' U' R B' BR' B R B'"""", ' {F,BR} (CIF)', 13.0, 11)"""
"""(""""B L' R' U' R' L R L' U L R B'"""", ' {BL,U} (CIF)', 13.0, 12)""";"""(""""B L' R' U' R' L R L' U L R B'"""", ' {BL,U} (CIF)', 13.0, 12)""";"""(""""B L' R' U' R' L R L' U L R B'"""", ' {BL,U} (CIF)', 13.0, 12)"""
"""(""""U BR' R' U R U' BR B U Rw BR Rw'"""", ' {B,D} (CIF)', 13.0, 12)""";"""(""""U BR' R' U R U' BR B U Rw BR Rw'"""", ' {B,D} (CIF)', 13.0, 12)""";"""(""""U BR' R' U R U' BR B U Rw BR Rw'"""", ' {B,D} (CIF)', 13.0, 12)"""
"""(""""BR' R U BR' Rw' U Rw' BR' R' Rw U Rw"""", ' {L,D} (CIF)', 13.25, 12)""";"""(""""BR' R U BR' Rw' U Rw' BR' R' Rw U Rw"""", ' {L,D} (CIF)', 13.25, 12)""";"""(""""BR' R U BR' Rw' U Rw' BR' R' Rw U Rw"""", ' {L,D} (CIF)', 13.25, 12)"""
"""(""""D' R BR D' Rw' BR Rw' D' R' Rw BR Rw"""", ' {BL,D} (EIF)', 13.25, 12)""";"""(""""D' R BR D' Rw' BR Rw' D' R' Rw BR Rw"""", ' {BL,D} (EIF)', 13.25, 12)""";"""(""""D' R BR D' Rw' BR Rw' D' R' Rw BR Rw"""", ' {BL,D} (EIF)', 13.25, 12)"""
"""(""""D' R D' BR Rw D' Rw BR R' BR Rw"""", ' {BL,D} (EIF)', 13.5, 11)""";"""(""""D' R D' BR Rw D' Rw BR R' BR Rw"""", ' {BL,D} (EIF)', 13.5, 11)""";"""(""""D' R D' BR Rw D' Rw BR R' BR Rw"""", ' {BL,D} (EIF)', 13.5, 11)"""
